budget,population,poolsize,approx_welfare,approx_error,approx_time,greedy_welfare,greedy_error,greedy_time,diff,ratio
2,1,5,377.77565444710166,0.5405801197358642,275 milliseconds,377.69358217134453,0.0,48 milliseconds,0.0820722757571275,1.0002172985711997
4,1,5,682.2385987670061,1.0811602394717283,634 milliseconds,682.2193238367431,0.0,73 milliseconds,0.019274930263009082,1.0000282532751412
6,1,5,933.4500363438325,1.6217403592075925,10072 milliseconds,933.4536545379068,0.0,86 milliseconds,-0.0036181940743063024,0.9999961238631863
8,1,5,1143.8863790124624,2.1623204789434567,21322 milliseconds,1143.8971596446556,0.0,96 milliseconds,-0.010780632193245765,0.9999905755232432
10,1,5,1311.3255414001862,2.702900598679321,228101 milliseconds,1311.2968618281066,0.0,81 milliseconds,0.028679572079681748,1.0000218711513118
2,2,5,370.6550649969764,0.566176449874547,173 milliseconds,370.1814235682606,0.0,10 milliseconds,0.4736414287158368,1.0012794845947435
4,2,5,658.8199716972337,1.132352899749094,693 milliseconds,658.3463302685177,0.0,18 milliseconds,0.4736414287159505,1.000719441131422
6,2,5,898.911591263283,1.6985293496236409,1735 milliseconds,898.6371215129464,0.0,26 milliseconds,0.2744697503366069,1.000305428903131
8,2,5,1096.566192794963,2.264705799498188,4157 milliseconds,1096.2819761049168,0.0,33 milliseconds,0.2842166900461507,1.0002592550969924
10,2,5,1263.7717914701993,2.830882249372735,93662 milliseconds,1263.544310088316,0.0,43 milliseconds,0.22748138188330813,1.000180034352628
2,3,5,357.072067917593,0.5542840529091677,210 milliseconds,357.072067917593,0.0,10 milliseconds,0.0,1.0
4,3,5,651.7087877140397,1.1085681058183354,494 milliseconds,651.3104534200907,0.0,19 milliseconds,0.39833429394900577,1.0006115889770497
6,3,5,899.6724700841199,1.6628521587275031,5658 milliseconds,899.4202254749703,0.0,30 milliseconds,0.2522446091496704,1.0002804524537088
8,3,5,1126.2007769415886,2.217136211636671,7796 milliseconds,1126.0061034313876,0.0,37 milliseconds,0.19467351020102797,1.0001728885035417
10,3,5,1301.653167042527,2.7714202645458386,28825 milliseconds,1301.5860906517712,0.0,49 milliseconds,0.06707639075580119,1.00005153434816
2,4,5,356.9955925706654,0.5408028146883908,171 milliseconds,356.9955925706654,0.0,10 milliseconds,0.0,1.0
4,4,5,649.7722237883418,1.0816056293767815,390 milliseconds,649.8559445314238,0.0,19 milliseconds,-0.08372074308203992,0.9998711703050706
6,4,5,907.235887143621,1.6224084440651723,1214 milliseconds,907.188666106834,0.0,28 milliseconds,0.047221036786936565,1.0000520520576934
8,4,5,1121.5588744493439,2.163211258753563,14899 milliseconds,1121.4159030610667,0.0,35 milliseconds,0.14297138827714662,1.0001274918501573
10,4,5,1300.1379798522332,2.7040140734419538,41961 milliseconds,1299.9998147966326,0.0,45 milliseconds,0.13816505560066616,1.0001062808271417
2,5,5,342.2302112586666,0.5664889768105468,148 milliseconds,342.20157971412425,0.0,13 milliseconds,0.02863154454234973,1.000083668650993
4,5,5,640.160250666147,1.1329779536210935,464 milliseconds,639.6836345168851,0.0,30 milliseconds,0.4766161492618721,1.0007450810424778
6,5,5,910.3327845573428,1.6994669304316403,1303 milliseconds,909.7742836755266,0.0,43 milliseconds,0.5585008818162578,1.0006138895018661
8,5,5,1140.9207722983435,2.265955907242187,8698 milliseconds,1140.4426884007717,0.0,51 milliseconds,0.47808389757187797,1.0004192090513924
10,5,5,1322.3697139858543,2.832444884052734,23510 milliseconds,1321.7133254232936,0.0,64 milliseconds,0.6563885625607782,1.0004966194634912
2,6,5,358.3486023310003,0.5575375474580255,179 milliseconds,358.3486023310003,0.0,9 milliseconds,0.0,1.0
4,6,5,645.8333862551882,1.115075094916051,416 milliseconds,645.8333862551881,0.0,18 milliseconds,1.1368683772161603e-13,1.0000000000000002
6,6,5,892.5582596579768,1.6726126423740766,1801 milliseconds,891.6535268713128,0.0,25 milliseconds,0.9047327866639989,1.0010146685448984
8,6,5,1081.6623563346498,2.230150189832102,11824 milliseconds,1080.7395393664112,0.0,33 milliseconds,0.9228169682385214,1.0008538754571519
10,6,5,1230.0950008782465,2.7876877372901276,104161 milliseconds,1229.0337245198998,0.0,56 milliseconds,1.0612763583467313,1.0008635046680767
2,7,5,370.1661458283554,0.5442913480735001,149 milliseconds,370.1661458283554,0.0,11 milliseconds,0.0,1.0
4,7,5,665.2521987657659,1.0885826961470002,487 milliseconds,665.2990937560742,0.0,21 milliseconds,-0.046894990308260276,0.9999295129202063
6,7,5,908.6976980261164,1.6328740442205003,2422 milliseconds,908.3080022787777,0.0,33 milliseconds,0.38969574733869194,1.0004290348057718
8,7,5,1104.2491893036754,2.1771653922940004,14921 milliseconds,1103.8487062004083,0.0,42 milliseconds,0.40048310326710634,1.000362806153613
10,7,5,1265.1849089734083,2.7214567403675005,57151 milliseconds,1264.9882104401413,0.0,49 milliseconds,0.19669853326695375,1.0001554943608515
2,8,5,363.587465473642,0.586019705651097,165 milliseconds,363.53728037393137,0.0,16 milliseconds,0.050185099710631675,1.0001380466390104
4,8,5,647.9826886732727,1.172039411302194,592 milliseconds,647.7285734171464,0.0,32 milliseconds,0.2541152561262834,1.000392317502354
6,8,5,870.5250067405526,1.7580591169532909,1775 milliseconds,869.7122599695086,0.0,42 milliseconds,0.812746771043976,1.0009345007635888
8,8,5,1057.13771710375,2.344078822604388,10855 milliseconds,1056.2919709720131,0.0,47 milliseconds,0.8457461317368598,1.0008006745814404
