budget,population,poolsize,approx_welfare,approx_error,approx_time,greedy_welfare,greedy_error,greedy_time,diff,ratio
2,1,5,461.239364823321,0.1786474150170534,299 milliseconds,461.22713775862735,0.0,35 milliseconds,0.012227064693661305,1.0000265098553245
4,1,5,886.0804215321318,0.3572948300341068,536 milliseconds,886.0051209263603,0.0,52 milliseconds,0.07530060577153108,1.000084988905812
6,1,5,1292.035700065867,0.5359422450511602,1741 milliseconds,1291.9143318128542,0.0,37 milliseconds,0.1213682530128608,1.0000939445054708
8,1,5,1684.6715944028108,0.7145896600682136,4112 milliseconds,1684.5205341550013,0.0,46 milliseconds,0.15106024780948246,1.00008967551582
10,1,5,2070.8218612294563,0.893237075085267,24170 milliseconds,2070.5829035923143,0.0,58 milliseconds,0.23895763714199347,1.0001154059741957
12,1,5,2446.6431466849567,1.0718844901023203,21106 milliseconds,2446.3156859988553,0.0,91 milliseconds,0.32746068610140355,1.00013385871986
